"","canonical_operator","canonical_name"
"1","AC Transit","1 Berkeley BART to Bay Fair BART"
"2","AC Transit","11 Dimond District Oakland"
"3","AC Transit","12 Berkeley BART to Downtown Oakland"
"4","AC Transit","14 Downtown Oakland to Fruitvale BART"
"5","AC Transit","18 University Village Albany to Montclair"
"6","AC Transit","20 Dimond District Oakland to downtown Oakland"
"7","AC Transit","200 Union City BART Fremont BART"
"8","AC Transit","212 Fremont BART to NewPark Mall"
"9","AC Transit","217 Fremont BART to Great Mall"
"10","AC Transit","22 Hayward BART"
"11","AC Transit","239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd."
"12","AC Transit","26 Emery Bay Public Market to Lakeshore Ave."
"13","AC Transit","376 El Cerrito Del Norte BART to Richmond Parkway Transit Center"
"14","AC Transit","386 Hayward BART to Sabre St. & Mack St. (AC Transit Hayward Division)"
"15","AC Transit","40 Downtown Oakland to Bay Fair BART"
"16","AC Transit","45 Eastmont Transit Center to Foothill Square Oakland"
"17","AC Transit","46 Coliseum BART to Oakland Zoo"
"18","AC Transit","46L Coliseum BART - Mountain - Golf Links Rd - Dunkirk Ave"
"19","AC Transit","47 Fruitvale BART to Maxwell Park"
"20","AC Transit","48 Hayward BART to Bay Fair BART"
"21","AC Transit","49 Rockridge BART to Berkeley BART"
"22","AC Transit","51A Rockridge BART to Fruitvale BART"
"23","AC Transit","51B Rockridge BART to Berkeley Amtrak"
"24","AC Transit","54 Fruitvale BART to Merritt College"
"25","AC Transit","57 Emeryville to Foothill Square Oakland"
"26","AC Transit","60 Hayward BART to Cal State East Bay"
"27","AC Transit","62 West Oakland BART to Fruitvale BART"
"28","AC Transit","65 Berkeley BART to Lawrence Hall of Science"
"29","AC Transit","7 El Cerrito del Norte BART"
"30","AC Transit","70 Richmond BART to Richmond Pkwy. Transit Center"
"31","AC Transit","72 Hilltop Mall to Oakland Amtrak"
"32","AC Transit","72M Point Richmond to Oakland Amtrak"
"33","AC Transit","72R San Pablo Rapid -- Contra Costa College to Jack London Square"
"34","AC Transit","73 Eastmont Transit Center to Oakland Airport"
"35","AC Transit","74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante"
"36","AC Transit","75 San Leandro BART to Bay Fair BART"
"37","AC Transit","76 El Cerrito del Norte BART to Hilltop Mall"
"38","AC Transit","800 All Nighter. Richmond BART to Market St. and Van Ness Ave. S.F."
"39","AC Transit","83 Hayward BART to South Hayward BART"
"40","AC Transit","85 San Leandro BART to South Hayward BART"
"41","AC Transit","851 All Nighter. Downtown Berkeley to Fruitvale BART"
"42","AC Transit","88 Berkeley BART to Lake Merritt BART"
"43","AC Transit","89 San Leandro BART to Bay Fair BART"
"44","AC Transit","97 Bay Fair BART to Union City BART"
"45","AC Transit","98 Coliseum BART Edgewater Dr."
"46","AC Transit","99 Bay Fair BART to Fremont BART"
"47","AC Transit","B Lakeshore Ave. Oakland"
"48","AC Transit","C Highland Ave. Piedmont"
"49","AC Transit","CB Warren Freeway and Broadway Terr. Oakland"
"50","AC Transit","E Caldecott Ln. Oakland"
"51","AC Transit","F UC Campus Berkeley"
"52","AC Transit","FS Solano Ave. Berkeley"
"53","AC Transit","G Richmond St. & Potrero St. El Cerrito"
"54","AC Transit","H Barrett Ave. & San Pablo Ave. El Cerrito"
"55","AC Transit","J Sacramento St. and University Ave. Berkeley"
"56","AC Transit","L San Pablo Dam Rd."
"57","AC Transit","LA Hilltop Dr. Park & Ride"
"58","AC Transit","NL Eastmont Transit Center Oakland"
"59","AC Transit","NX Seminary Ave. & MacArthur Blvd."
"60","AC Transit","NX1 Fruitvale Ave. & MacArthur Blvd."
"61","AC Transit","NX2 High St. & MacArthur Blvd."
"62","AC Transit","NX3 Marlow Dr. & Foothill Way Oakland"
"63","AC Transit","NX4 Castro Valley Park & Ride"
"64","AC Transit","O Park Ave. & Encinal Ave. Alameda"
"65","AC Transit","P Highland Ave. & Highland Way Piedmont"
"66","AC Transit","S Eden Shores Hayward"
"67","AC Transit","SB Cedar Blvd. & Stevenson Blvd. Newark"
"68","AC Transit","V Broadway and Broadway Terr. Oakland"
"69","AC Transit","W Broadway & Blanding Ave. Alameda"
"70","ACE","Stockton/San Jose"
"71","Alcatraz","Hornblower Ferry"
"72","Angel Island-Tiburon Ferry","Angel Island-Tiburon Ferry"
"73","Apple","Shuttle"
"74","Blue & Gold","Sausalito Ferry"
"75","Blue & Gold","Tiburon Ferry"
"76","Caltrain","81X Caltrain Express"
"78","Caltrain","Caltrain"
"79","Caltrain","Shuttle"
"82","Capitol Corridor","Sacramento/San Jose"
"84","County Connection","10 BART Concord/Clayton"
"85","County Connection","11 BART Concord/BART Pleasant"
"86","County Connection","15 Treat Blvd"
"87","County Connection","17 BART Concord/North Concord"
"88","County Connection","1M Walnut Creek BART/Marchbanks"
"89","County Connection","2 Rudgear/BART Walnut Creek"
"90","County Connection","21 BART Walnut Creek/San Ramon"
"91","County Connection","25 BART Lafayette/BART Walnut Creek"
"92","County Connection","28 BART North Concord/Martinez"
"93","County Connection","35 BART Dublin/San Ramon"
"94","County Connection","36 San Ramon/BART Dublin"
"95","County Connection","5 Creekside/BART Walnut Creek"
"96","County Connection","627 BART North Concord/Mason Cir"
"97","County Connection","7 Shadelands/BART Pleasant Hill/BART Walnut Creek"
"98","County Connection","9 DVC/BART Walnut Creek"
"99","County Connection","Shuttle"
"100","Emeryville MTA","Go-Round Hollis"
"101","Emeryville MTA","Go-Round Hollis South"
"102","Emeryville MTA","Go-Round Shellmound/Powell"
"103","Facebook","Shuttle"
"104","FAST","90 Fairfield - El Cerrito Del Norte BART"
"105","Golden Gate Transit","101 Santa Rosa - San Francisco"
"106","Golden Gate Transit","101X Santa Rosa - San Francisco"
"107","Golden Gate Transit","17 San Rafael - Sausalito"
"108","Golden Gate Transit","18 College of Marin - San Francisco"
"109","Golden Gate Transit","2 Marin Headlands"
"110","Golden Gate Transit","24 Manor - Fairfax - San Francisco"
"111","Golden Gate Transit","27 San Anselmo - San Francisco"
"112","Golden Gate Transit","29 San Rafael - Larkspur Landing - Fairfax - Manor"
"113","Golden Gate Transit","4 Mill Valley - San Francisco"
"114","Golden Gate Transit","54 San Marin - San Francisco"
"115","Golden Gate Transit","70 Novato - San Francisco"
"116","Golden Gate Transit","72 Santa Rosa - Rohnert Park - San Francisco"
"117","Golden Gate Transit","74 Santa Rosa - Cotati - San Francisco"
"118","Golden Gate Transit","92 Manzanita Park & Ride - San Francisco"
"119","Golden Gate Transit","97 Larkspur Ferry Terminal - San Francisco"
"120","Golden Gate Transit","Ferry Larkspur Ferry"
"121","Golden Gate Transit","Ferry Sausalito Ferry"
"122","Harbor Bay","Harbor Bay"
"123","Harbor Bay","Shuttle"
"124","LBL","Shuttle"
"125","Livermore Amadore Transit","10R"
"126","Livermore Amadore Transit","Transit"
"127","Marin Transit","228 College of Marin/Indian Valley Campus"
"128","Marin Transit","36"
"129","Marin Transit","Shuttle"
"130","Missing","-"
"131","Missing","Missing - Dummy Record"
"132","Napa Vine","29 Commuter Express"
"133","PresidiGo","Shuttle"
"134","SamTrans","110"
"135","SamTrans","112"
"136","SamTrans","120"
"137","SamTrans","121"
"138","SamTrans","122"
"139","SamTrans","130"
"140","SamTrans","131"
"141","SamTrans","140"
"142","SamTrans","141"
"143","SamTrans","250"
"144","SamTrans","256"
"145","SamTrans","260"
"146","SamTrans","270"
"147","SamTrans","275"
"148","SamTrans","276"
"149","SamTrans","281"
"150","SamTrans","292"
"151","SamTrans","295"
"152","SamTrans","296"
"153","SamTrans","398"
"154","SamTrans","ECR Palo Alto - Daly City"
"155","SamTrans","SCS"
"156","San Francisco Bay Ferry","Alameda/Oakland Ferry"
"157","San Francisco Bay Ferry","Harbor Bay Ferry"
"158","San Francisco Bay Ferry","Vallejo Ferry"
"159","SF Muni","1 California"
"163","SF Muni","10 Townsend"
"167","SF Muni","10R Livermore Amador Valley Transit"
"168","SF Muni","12 Folsom Pacific"
"172","SF Muni","14 Mission"
"176","SF Muni","14R Mission Rapid"
"180","SF Muni","14X Mission Express"
"184","SF Muni","18 46th Avenue"
"188","SF Muni","19 Polk"
"192","SF Muni","1AX California A Express"
"196","SF Muni","1BX California B Express"
"200","SF Muni","2 Clement"
"204","SF Muni","21 Hayes"
"208","SF Muni","22 Fillmore"
"212","SF Muni","23 Monterey"
"216","SF Muni","24 Divisadero"
"220","SF Muni","25 Treasure Island"
"224","SF Muni","27 Bryant"
"228","SF Muni","28 19th Avenue"
"232","SF Muni","28R 19th Avenue Rapid"
"236","SF Muni","29 Sunset"
"240","SF Muni","3 Jackson"
"244","SF Muni","30 Stockton"
"248","SF Muni","30X Marina Express"
"252","SF Muni","31 Balboa"
"256","SF Muni","31AX Balboa A Express"
"260","SF Muni","31BX Balboa B Express"
"263","SF Muni","33 Ashbury 18th"
"267","SF Muni","35 Eureka"
"271","SF Muni","36 Teresita"
"275","SF Muni","37 Corbett"
"279","SF Muni","38 Geary"
"283","SF Muni","38AX Geary A Express"
"287","SF Muni","38BX Geary B Express"
"291","SF Muni","38R Geary Rapid"
"295","SF Muni","39 Coit"
"299","SF Muni","41 Union"
"303","SF Muni","43 Masonic"
"307","SF Muni","44 OShaughnessy"
"311","SF Muni","45 Union Stockton"
"315","SF Muni","47 Van Ness"
"319","SF Muni","48 Quintara 24th Street"
"323","SF Muni","49 Van Ness Mission"
"327","SF Muni","5 Fulton"
"331","SF Muni","52 Excelsior"
"335","SF Muni","54 Felton"
"339","SF Muni","55 16th Street"
"343","SF Muni","56 Rutland"
"347","SF Muni","57 Parkmerced"
"351","SF Muni","5R Fulton Rapid"
"355","SF Muni","6 Haight Parnassus"
"359","SF Muni","66 Quintara"
"363","SF Muni","67 Bernal Heights"
"367","SF Muni","7 Haight Noriega"
"371","SF Muni","76X Marin Headlands Express"
"374","SF Muni","7R Haight Noriega Rapid"
"378","SF Muni","7X Noriega Express"
"382","SF Muni","8 Bayshore"
"386","SF Muni","82X Levi Plaza Express"
"390","SF Muni","83X Mid Market Express"
"394","SF Muni","8AX Bayshore A Express"
"398","SF Muni","8BX Bayshore B Express"
"402","SF Muni","9 San Bruno"
"406","SF Muni","90 San Bruno Owl"
"410","SF Muni","91 Owl"
"414","SF Muni","9R San Bruno Rapid"
"418","SF Muni","Cable Car"
"421","SF Muni","E Embarcadero"
"425","SF Muni","F Market & Wharves"
"429","SF Muni","J Church"
"433","SF Muni","K OWL"
"434","SF Muni","KT Ingleside Third Street"
"438","SF Muni","L OWL"
"439","SF Muni","L Taraval"
"443","SF Muni","M Ocean View"
"447","SF Muni","N Judah"
"451","SF Muni","N OWL"
"452","SF Muni","NX N Express"
"456","SF Muni","POWELL MASON"
"457","SF Muni","Shuttle"
"461","SF Muni","T OWL"
"462","SFSU","Shuttle"
"463","SolTrans","4 Tuolumne St / Vallejo Transit Center"
"464","SolTrans","7 Target Shopping Center/Vallejo Transit Center"
"465","SolTrans","80 Vallejo/El Cerrito Del Norte BART"
"466","Stanford","Shuttle"
"472","Tri Delta","300 Pittsburg BART / Brentwood Park & Ride"
"473","Tri Delta","380 Pittsburg BART / Antioch"
"474","Tri Delta","388 Pittsburg BART / Hillcrest Park & Ride"
"475","Tri Delta","391 Pittsburg BART / Brentwood Park & Ride"
"476","UCSF","Shuttle"
"477","Union City","1 Alvarado-Niles: Union City Blvd / Dyer"
"478","Union City","2 Whipple"
"479","VTA","180 FREMONT BART - SAN JOSE DIRIDON STA"
"480","VTA","181 SAN JOSE DIRIDON - FREMONT BART"
"481","VTA","22 EASTRIDGE - PALO ALTO/MENLO PARK"
"482","VTA","32 STA CLARA CTRN -SN ANTONIO SHOP CTR"
"483","VTA","40 LA AVENIDA - SN ANTONIO SHOP CTR"
"484","VTA","522 EASTRIDGE - PALO ALTO"
"485","VTA","55 DE ANZA COLLEGE - GREAT AMERICA"
"486","VTA","60 WINCHESTER LRT - GT AMERICA"
"487","VTA","64 ALMADEN LRT - MCKEE & WHITE"
"488","VTA","65 KOOSER & MERIDIAN - DOWNTOWN S.J."
"489","VTA","70 CAPITOL LRT STN - GREAT MALL/MAIN"
"490","VTA","89 CALIFORNIA AVE CTRN-VETS HOSPITAL"
"491","VTA","900 Light Rail"
"492","VTA","901 Light Rail"
"493","VTA","902 Light Rail"
"494","VTA","Shuttle"
"495","WestCAT","12 Local - Hercules Trees and Flowers: Loop"
"496","WestCAT","15 Local - Viewpointe to Hercules Transit Center."
"497","WestCAT","JL Express - Del Norte BART/Hilltop Shopping Center"
"498","WestCAT","JPX Express - Del Norte BART to Hercules Transit Center"
"499","WestCAT","JX Express - Del Norte BART to Hercules Transit Center"
"500","WestCAT","LYNX Transbay Hercules to San Francisco Transbay Terminal"
"515","Emeryville MTA","26 Emery Bay Public Market to Lakeshore Ave."
"519","Union City","97 Bay Fair BART to Union City BART"
"521","Missing","Agency provided, but route not spec; or illogical transit provided"
"523","SF Muni","8X Bayshore Express"
"524","SF Muni","14L Mission Limited"
"537","SF Muni","38L Geary Limited"
"538","Emeryville MTA","57 Emeryville to Foothill Square Oakland"
"543","AirTrain","AirTrain (SF Airport)"
"548","SolTrans","78 Vallejo/Walnut Creek Bart"
"553","AC Transit","1R International Rapid"
"554","SF Muni","5L Fulton_Limited"
"558","CPMC","Shuttle"
"561","Caltrain","Local 100"
"562","Tri Delta"," 300 Pittsburg BART / Brentwood Park & Ride"
"563","Rio Vista Delta","52 State Route 160 Express"
"564","Tri Delta"," 387 Pittsburg BART / Antioch"
"565","Tri Delta"," 380 Pittsburg BART / Antioch"
"566","Tri Delta"," 390 Pittsburg BART / Hillcrest Park & Ride"
"567","County Connection","20 DVC/BART Concord"
"569","County Connection","16 AMTRAK/BART Concord"
"572","Tri Delta"," 388 Pittsburg BART / Hillcrest Park & Ride"
"573","Tri Delta"," 391 Pittsburg BART / Brentwood Park & Ride"
"575","AC Transit","31 Alameda Point to MacArthur BART"
"580","County Connection","14 Monument Blvd"
"581","Tri Delta"," 385 Antioch/Brentwood via Hillcrest"
"583","County Connection","18 AMTRAK/BART Pleasant Hill"
"584","Emeryville MTA","Go-Round Shuttle (MacArthur)"
"587","Kaiser","Shuttle"
"589","County Connection","98X Martinez/BART Walnut Creek"
"590","County Connection","1 Rossmoor/Shadelands"
"595","AC Transit","71 El Cerrito Plaza BART to Richmond Parkway Transit Center"
"597","CSU","Shuttle"
"599","County Connection","6 Lafayette/Moraga/Orinda"
"600","Tri Delta"," 389 Pittsburg BART / Bay Point"
"602","Tri Delta"," 201 Pittsburg BART to Concord BART"
"606","AC Transit","52 University Village to UC Campus (Berkeley BART)."
"607","AC Transit","86 Hayward BART to South Hayward BART"
"609","SolTrans","2 Gateway Plaza - Vallejo Campus/Downtown"
"610","SLTMO","75 San Leandro BART to Bay Fair BART"
"612","San Joaquin","San Joaquin (Amtrak)"
"614","LAVTA"," 12 East Dublin / College / Northwest Livermore"
"615","LAVTA"," 10 Stoneridge - East Avenue"
"616","WestCAT","JR Express - Del Norte BART/Richmond Parkway Transit Center"
"617","AC Transit","232 Fremont BART to New Park Mall"
"618","AC Transit","93 Hayward BART to Bay Fair BART"
"619","SLTMO","85 San Leandro BART to South Hayward BART"
"621","SolTrans","1 Rancho Vallejo/Downtown"
"625","AC Transit","32 Hayward BART to Castro Valley BART"
"628","UC Berkeley","Shuttle"
"629","AC Transit","M Hayward BART to Oracle"
"630","AC Transit","21 Dimond Dist. to Oakland Airport"
"631","AC Transit","Shuttle"
"632","SLTMO","Shuttle"
"635","SolTrans","5 Discovery Kingdom / Vallejo Transit Center"
"636","AC Transit","215 Fremont BART to Gateway Blvd. & Lakeside Pkwy."
"637","SolTrans","3 Glen Cove/South Vallejo"
"638","LAVTA"," R Stoneridge - East Avenue (RAPID)"
"639","Golden Gate Transit","42 El Cerrito - Richmond - San Rafael"
"640","FAST","3 Outer Fairfield"
"641","Union City","216 Ohlone College Newark Campus to Union City BART"
"646","WestCAT","16 Local - Pinole Valley to Richmond Parkway Transit Center"
"647","AC Transit","210 Ohlone College to Union Landing Shopping Center"
"648","AC Transit","37 Hayward BART to South Hayward BART"
"649","FAST","30 Fairfield - Davis/Sacramento"
"650","AC Transit","25 El Cerrito Plaza BART"
"651","Golden Gate Transit","40 El Cerrito - Richmond - San Rafael"
"654","Union City","200 Union City BART Fremont BART"
"655","Golden Gate Transit","45 Terra Linda - Kaiser Hospital - San Rafael"
"657","AC Transit","251 Fremont BART to NewPark Mall"
"658","SolTrans","85 Vallejo Transit Center/Fairfield"
"660","AC Transit","58L Oakland Amtrak to Eastmont Transit Center"
"661","WestCAT","30Z Regional - Hercules Transit Center to Martinez Amtrak Station"
"662","Union City","5 Dyer"
"663","Alameda County","Shuttle"
"664","LAVTA"," 20 East Dublin - East Livermore Express"
"665","Union City"," DB1 Union City BART to Stanford Industrial Park"
"667","AC Transit","94 Hayward BART to Hayward High School."
"668","FAST","1 Fairfield Transit Center - Walmart"
"671","Union City","275 Union City BART Loop"
"673","WestCAT","11 Local - Crockett to Hercules Transit Center."
"674","Union City"," DB Union City BART to Stanford Oval"
"675","Golden Gate Transit","23 Shoreline Parkway - Fairfax - Manor"
"677","AC Transit","95 Hayward BART to Fairview District"
"684","SLTMO","89 San Leandro BART to Bay Fair BART"
"685","SF Muni","28L 19th Avenue Limited"
"687","Golden Gate Transit","22 San Rafael - Marin City"
"692","SFGH","Shuttle"
"694","County Connection","96X BART Walnut Creek/Shuttle"
"695","VTA","25 ALUM ROCK LRT - DE ANZA COLLEGE"
"698","SamTrans","Shuttle"
"702","Caltrain","BABY BULLET 300"
"708","VTA","68 GILROY - SAN JOSE DIRIDON"
"712","Caltrain","Limited 200"
"713","VTA","10 METRO/AIRPORT - CTRN"
"715","County Connection","315 BART Concord/Landana"
"717","Berkeley Gateway TMA","Shuttle"
"719","Highland Hospital","Shuttle"
"721","AC Transit","39 Fruitvale BART to Skyline High School"
"722","County Connection","626 St Marys College/BART Lafayette"
"724","Capitol Corridor","Capitol Corridor Sacramento/San Jose"
"726","SamTrans","43"
"732","Utah Grand","Shuttle"
"733","VTA","52 DNTN MTN VIEW - FOOTHILL COLLEGE"
"734","SamTrans","133"
"737","AC Transit","67 Berkeley BART to Grizzly Peak"
"738","LAVTA"," 15 Springtown"
"740","County Connection","97X BART Dublin/Shuttle"
"742","Union City","4 Seven Hills"
"745","LAVTA"," 8 Hopyard"
"748","Golden Gate Transit","10 Strawberry - San Francisco"
"755","Marin Transit"," 219 Tiburon - Marin City"
"756","County Connection","19 AMTRAK/BART Concord"
"758","VTA","17 GILROY TRANSIT CTR - ST LOUISE HOSP"
"761","LAVTA"," 401 Big Trees Park"
"764","LAVTA"," 604 Fairlands / Hacienda / Muirwood"
"765","County Connection","Downtown Walnut Creek Trolley/Shuttle ""Free Ride (4)"
"766","County Connection","95X San Ramon/BART Walnut Creek"
"767","VTA","46 GREAT MALL - WASHINGTON/ESCUELA"
"769","SF Muni","9L San Bruno Limited"
"770","VTA","35 STANFORD SHOP CTR - DNTN MTN VIEW"
"775","VTA","323 DE ANZA COL - DOWNTOWN SAN JOSE"
"778","SF Muni","S Castro Shuttle"
"779","AC Transit","657 Coliseum BART to Oakland Technical High School"
"780","County Connection","92X ACE Express"
"781","FAST","5 Suisun City West"
"782","VTA","120 FREMONT BART - LOCKHEED MARTIN"
"783","VTA","81 SAN JOSE STATE - CUPERTINO SQUARE"
"784","Napa Vine","21 Napa Solano Express"
"785","SamTrans","118"
"787","VTA","71 EASTRIDGE- GREAT MALL/MAIN"
"789","LAVTA"," 54 Hacienda"
"790","LAVTA"," 53 Stoneridge"
"791","LAVTA"," 1 East Dublin/ Pleasanton"
"793","County Connection","260 BART Concord/Cal State East Bay"
"794","Bishop Ranch","Shuttle"
"795","County Connection","310 BART Concord-Clayton Rd/Kirker Pass Rd"
"796","County Connection","316 Martinez AMTRAK/BART Pleasant Hill"
"797","County Connection","321 Walnut Creek BART/San Ramon"
"800","SF Muni","NX Judah Express BUS   Peak direction only"
"802","Fairmont Hospital","Shuttle"
"804","County Connection","311 BART Concord/BART PH/BART WC"
"805","LAVTA"," 70XV Stoneridge - Pleasant Hill Express"
"806","Yahoo","Shuttle"
"807","County Connection","320 DVC/BART Concord"
"809","County Connection","93X Kirker Pass Express"
"812","SamTrans","28"
"813","LAVTA"," 3 West Dublin/ Pleasanton"
"815","SamTrans","49"
"818","FAST","40 Vacaville - Walnut Creek BART"
"819","LAVTA"," R Stoneridge - East Avenue"
"821","County Connection","91X Concord Commuter Express"
"822","AC Transit","U Fremont BART to Stanford University"
"824","City of Alameda","Shuttle"
"825","LAVTA"," 9 Hacienda Business Park"
"826","LAVTA"," 2 Dublin Ranch"
"827","AC Transit","805 All Nighter. Downtown Oakland to Oakland Airport"
"829","VTA","51 VALLCO - MOFFETT FLD/AMES CTR"
"830","SamTrans","251"
"832","VTA","66 STA TERESA HOSP. - MILPITAS/DIXON"
"833","VTA","23 ALUM ROCK TRANSIT CTR - DE ANZA COL"
"834","Santa Cruz Metro"," 17"
"837","VTA","72 SANTA TERESA - DOWNTOWN SAN JOSE"
"843","VTA","82 WESTGATE - 21ST & MISSION"
"845","FAST","20 Fairfield - Vacaville"
"846","Monterey-Salinas Transit","55"
"847","Santa Rosa City","5 Santa Rosa Avenue"
"848","SamTrans","17"
"850","VTA","62 GOOD SAM HOSP - SIERA & PIEDMONT"
"851","VTA","323"
"854","Santa Rosa City","8"
"855","SamTrans","FLX"
"856","Golden Gate Transit","61"
"857","Rio Vista Delta","50 State Route 12 Express"
