ID,ROUTE,DIRECTION,DAYPART,SCH_STOPPOINT_SEQNO
500109,1R,SOUTHBOUND,MIDDAY,7
500361,1R,NORTHBOUND,MIDDAY,1
500602,1R,SOUTHBOUND,AM PEAK,21
500763,1R,SOUTHBOUND,MIDDAY,9
500866,1R,NORTHBOUND,MIDDAY,2
500868,1R,NORTHBOUND,MIDDAY,1
501363,1R,NORTHBOUND,PM PEAK,2
501399,1R,SOUTHBOUND,MIDDAY,2
501782,1R,NORTHBOUND,MIDDAY,1
501823,1R,SOUTHBOUND,AM PEAK,17
503928,1R,SOUTHBOUND,PM PEAK,3
504501,1R,NORTHBOUND,MIDDAY,
504502,1R,NORTHBOUND,MIDDAY,8
504503,1R,NORTHBOUND,MIDDAY,
504504,1R,NORTHBOUND,MIDDAY,3
504505,1R,NORTHBOUND,MIDDAY,
504506,1R,NORTHBOUND,MIDDAY,4
504507,1R,NORTHBOUND,MIDDAY,
504508,1R,NORTHBOUND,MIDDAY,
504509,1R,NORTHBOUND,MIDDAY,2
504510,1R,NORTHBOUND,MIDDAY,2
504511,1R,NORTHBOUND,MIDDAY,
504512,1R,NORTHBOUND,MIDDAY,30
504513,1R,NORTHBOUND,MIDDAY,9
504514,1R,NORTHBOUND,MIDDAY,
504515,1R,NORTHBOUND,MIDDAY,
504516,1R,NORTHBOUND,MIDDAY,
504517,1R,NORTHBOUND,MIDDAY,
504518,1R,NORTHBOUND,MIDDAY,20
504519,1R,NORTHBOUND,MIDDAY,
504520,1R,NORTHBOUND,MIDDAY,6
504521,1R,NORTHBOUND,MIDDAY,8
504522,1R,NORTHBOUND,MIDDAY,24
504523,1R,NORTHBOUND,MIDDAY,9
504524,1R,NORTHBOUND,MIDDAY,9
504525,1R,NORTHBOUND,MIDDAY,
504314,1R,NORTHBOUND,MIDDAY,1
504315,1R,NORTHBOUND,MIDDAY,
504316,1R,NORTHBOUND,MIDDAY,
504317,1R,NORTHBOUND,MIDDAY,
504318,1R,NORTHBOUND,MIDDAY,
504320,1R,NORTHBOUND,MIDDAY,
504322,1R,NORTHBOUND,MIDDAY,
504323,1R,NORTHBOUND,MIDDAY,12
504324,1R,NORTHBOUND,MIDDAY,12
504325,1R,NORTHBOUND,MIDDAY,
504816,1R,NORTHBOUND,AM PEAK,29
504833,1R,NORTHBOUND,MIDDAY,1
504834,1R,NORTHBOUND,MIDDAY,1
504835,1R,NORTHBOUND,MIDDAY,12
504836,1R,NORTHBOUND,MIDDAY,30
504837,1R,NORTHBOUND,MIDDAY,11
504838,1R,NORTHBOUND,MIDDAY,11
504839,1R,NORTHBOUND,MIDDAY,14
504840,1R,NORTHBOUND,MIDDAY,14
504841,1R,NORTHBOUND,MIDDAY,15
504842,1R,NORTHBOUND,MIDDAY,15
504843,1R,NORTHBOUND,MIDDAY,26
504844,1R,NORTHBOUND,MIDDAY,30
504845,1R,NORTHBOUND,MIDDAY,35
504846,1R,SOUTHBOUND,PM PEAK,10
504847,1R,SOUTHBOUND,PM PEAK,10
504848,1R,SOUTHBOUND,PM PEAK,10
504849,1R,SOUTHBOUND,PM PEAK,10
504850,1R,SOUTHBOUND,PM PEAK,10
504851,1R,NORTHBOUND,MIDDAY,36
504854,1R,NORTHBOUND,MIDDAY,37
504855,1R,SOUTHBOUND,MIDDAY,1
504857,1R,SOUTHBOUND,MIDDAY,2
504858,1R,SOUTHBOUND,MIDDAY,
504859,1R,SOUTHBOUND,MIDDAY,3
504860,1R,SOUTHBOUND,MIDDAY,
504861,1R,SOUTHBOUND,MIDDAY,
504862,1R,SOUTHBOUND,MIDDAY,
504863,1R,SOUTHBOUND,MIDDAY,12
504802,1R,NORTHBOUND,AM PEAK,9
504864,1R,SOUTHBOUND,MIDDAY,12
504865,1R,SOUTHBOUND,MIDDAY,8
504866,1R,SOUTHBOUND,MIDDAY,9
504867,1R,SOUTHBOUND,MIDDAY,13
504868,1R,SOUTHBOUND,MIDDAY,9
504869,1R,SOUTHBOUND,MIDDAY,
504870,1R,SOUTHBOUND,MIDDAY,8
504871,1R,SOUTHBOUND,MIDDAY,25
504872,1R,SOUTHBOUND,MIDDAY,12
504873,1R,SOUTHBOUND,MIDDAY,17
504874,1R,SOUTHBOUND,MIDDAY,18
504875,1R,SOUTHBOUND,MIDDAY,12
504951,1R,SOUTHBOUND,PM PEAK,1
504952,1R,SOUTHBOUND,PM PEAK,4
504953,1R,SOUTHBOUND,PM PEAK,4
504954,1R,SOUTHBOUND,PM PEAK,8
504955,1R,SOUTHBOUND,PM PEAK,16
504956,1R,SOUTHBOUND,PM PEAK,8
504957,1R,SOUTHBOUND,PM PEAK,5
504958,1R,SOUTHBOUND,PM PEAK,8
504959,1R,SOUTHBOUND,PM PEAK,9
504960,1R,SOUTHBOUND,PM PEAK,9
504961,1R,SOUTHBOUND,PM PEAK,9
504962,1R,SOUTHBOUND,PM PEAK,10
504963,1R,SOUTHBOUND,PM PEAK,10
504964,1R,SOUTHBOUND,PM PEAK,10
504965,1R,SOUTHBOUND,PM PEAK,10
504966,1R,SOUTHBOUND,PM PEAK,10
504967,1R,SOUTHBOUND,PM PEAK,11
504968,1R,SOUTHBOUND,PM PEAK,11
504969,1R,SOUTHBOUND,PM PEAK,17
504970,1R,SOUTHBOUND,PM PEAK,15
504971,1R,SOUTHBOUND,PM PEAK,18
504972,1R,SOUTHBOUND,PM PEAK,17
504973,1R,SOUTHBOUND,PM PEAK,17
504974,1R,SOUTHBOUND,PM PEAK,17
504975,1R,SOUTHBOUND,PM PEAK,
504976,1R,NORTHBOUND,PM PEAK,1
504977,1R,NORTHBOUND,PM PEAK,1
504978,1R,NORTHBOUND,PM PEAK,16
504979,1R,NORTHBOUND,PM PEAK,1
504980,1R,NORTHBOUND,PM PEAK,1
504981,1R,NORTHBOUND,PM PEAK,1
504982,1R,NORTHBOUND,PM PEAK,3
504984,1R,NORTHBOUND,PM PEAK,3
504985,1R,NORTHBOUND,PM PEAK,3
504986,1R,NORTHBOUND,PM PEAK,6
504987,1R,NORTHBOUND,PM PEAK,6
504988,1R,NORTHBOUND,PM PEAK,6
504989,1R,NORTHBOUND,PM PEAK,8
504990,1R,NORTHBOUND,PM PEAK,10
504991,1R,NORTHBOUND,PM PEAK,22
504994,1R,NORTHBOUND,PM PEAK,25
504995,1R,NORTHBOUND,PM PEAK,25
504996,1R,NORTHBOUND,PM PEAK,35
504997,1R,SOUTHBOUND,PM PEAK,2
504998,1R,SOUTHBOUND,PM PEAK,2
504999,1R,SOUTHBOUND,PM PEAK,2
505000,1R,SOUTHBOUND,PM PEAK,3
505065,1R,SOUTHBOUND,PM PEAK,10
505076,1R,SOUTHBOUND,MIDDAY,4
505077,1R,SOUTHBOUND,MIDDAY,4
505078,1R,SOUTHBOUND,MIDDAY,6
505079,1R,SOUTHBOUND,MIDDAY,6
505081,1R,SOUTHBOUND,MIDDAY,8
505082,1R,SOUTHBOUND,MIDDAY,9
505083,1R,SOUTHBOUND,MIDDAY,9
505084,1R,SOUTHBOUND,MIDDAY,10
505085,1R,SOUTHBOUND,MIDDAY,11
505086,1R,SOUTHBOUND,MIDDAY,11
505087,1R,SOUTHBOUND,MIDDAY,12
505088,1R,SOUTHBOUND,MIDDAY,12
505089,1R,SOUTHBOUND,MIDDAY,12
505090,1R,SOUTHBOUND,MIDDAY,12
505092,1R,SOUTHBOUND,MIDDAY,13
505093,1R,SOUTHBOUND,MIDDAY,13
505094,1R,SOUTHBOUND,MIDDAY,4
505095,1R,SOUTHBOUND,MIDDAY,4
505096,1R,SOUTHBOUND,MIDDAY,4
505310,1R,NORTHBOUND,AM PEAK,12
505311,1R,NORTHBOUND,AM PEAK,16
505312,1R,NORTHBOUND,AM PEAK,16
505313,1R,NORTHBOUND,AM PEAK,21
505314,1R,NORTHBOUND,AM PEAK,21
505315,1R,NORTHBOUND,AM PEAK,23
505316,1R,NORTHBOUND,AM PEAK,
505317,1R,NORTHBOUND,AM PEAK,22
505318,1R,NORTHBOUND,AM PEAK,15
505320,1R,NORTHBOUND,AM PEAK,29
505321,1R,NORTHBOUND,AM PEAK,29
505323,1R,NORTHBOUND,AM PEAK,30
505324,1R,NORTHBOUND,AM PEAK,30
505325,1R,NORTHBOUND,AM PEAK,30
505326,1R,NORTHBOUND,AM PEAK,30
505327,1R,NORTHBOUND,AM PEAK,30
505328,1R,NORTHBOUND,AM PEAK,32
505329,1R,NORTHBOUND,AM PEAK,32
505330,1R,NORTHBOUND,AM PEAK,30
505332,1R,SOUTHBOUND,AM PEAK,2
505333,1R,SOUTHBOUND,AM PEAK,3
505334,1R,SOUTHBOUND,AM PEAK,4
505335,1R,SOUTHBOUND,AM PEAK,4
505336,1R,SOUTHBOUND,AM PEAK,4
505337,1R,SOUTHBOUND,AM PEAK,4
505340,1R,SOUTHBOUND,AM PEAK,7
505341,1R,SOUTHBOUND,AM PEAK,8
505342,1R,SOUTHBOUND,AM PEAK,
505343,1R,SOUTHBOUND,AM PEAK,
505345,1R,SOUTHBOUND,AM PEAK,
505346,1R,SOUTHBOUND,AM PEAK,
505347,1R,SOUTHBOUND,AM PEAK,13
505348,1R,SOUTHBOUND,AM PEAK,14
505349,1R,SOUTHBOUND,AM PEAK,3
505350,1R,SOUTHBOUND,AM PEAK,15
505351,1R,SOUTHBOUND,MIDDAY,2
505352,1R,SOUTHBOUND,MIDDAY,3
505353,1R,SOUTHBOUND,MIDDAY,2
505354,1R,SOUTHBOUND,MIDDAY,3
505355,1R,SOUTHBOUND,MIDDAY,
505356,1R,SOUTHBOUND,MIDDAY,2
505357,1R,SOUTHBOUND,MIDDAY,6
505358,1R,SOUTHBOUND,MIDDAY,4
505360,1R,SOUTHBOUND,MIDDAY,13
505361,1R,SOUTHBOUND,MIDDAY,13
505362,1R,SOUTHBOUND,MIDDAY,13
505364,1R,SOUTHBOUND,MIDDAY,2
505365,1R,SOUTHBOUND,MIDDAY,13
505366,1R,SOUTHBOUND,MIDDAY,3
505367,1R,SOUTHBOUND,MIDDAY,9
505368,1R,SOUTHBOUND,MIDDAY,6
505369,1R,SOUTHBOUND,MIDDAY,16
505370,1R,SOUTHBOUND,MIDDAY,16
505371,1R,SOUTHBOUND,MIDDAY,25
505372,1R,SOUTHBOUND,MIDDAY,25
505376,1R,SOUTHBOUND,AM PEAK,4
505377,1R,SOUTHBOUND,AM PEAK,9
505378,1R,SOUTHBOUND,AM PEAK,9
505379,1R,SOUTHBOUND,AM PEAK,9
505097,1R,SOUTHBOUND,MIDDAY,4
505098,1R,SOUTHBOUND,MIDDAY,13
505099,1R,SOUTHBOUND,MIDDAY,5
505100,1R,SOUTHBOUND,MIDDAY,7
505101,1R,SOUTHBOUND,MIDDAY,8
505102,1R,SOUTHBOUND,MIDDAY,8
505103,1R,SOUTHBOUND,MIDDAY,10
505104,1R,SOUTHBOUND,MIDDAY,11
505105,1R,SOUTHBOUND,MIDDAY,13
505106,1R,SOUTHBOUND,MIDDAY,14
505107,1R,SOUTHBOUND,MIDDAY,15
505108,1R,SOUTHBOUND,MIDDAY,17
505109,1R,SOUTHBOUND,MIDDAY,17
505110,1R,NORTHBOUND,MIDDAY,29
505111,1R,NORTHBOUND,MIDDAY,29
505112,1R,NORTHBOUND,MIDDAY,30
505113,1R,NORTHBOUND,MIDDAY,30
505114,1R,NORTHBOUND,MIDDAY,31
505115,1R,NORTHBOUND,MIDDAY,33
505116,1R,NORTHBOUND,MIDDAY,30
505117,1R,SOUTHBOUND,PM PEAK,2
505118,1R,SOUTHBOUND,PM PEAK,2
505119,1R,SOUTHBOUND,PM PEAK,2
505120,1R,SOUTHBOUND,PM PEAK,2
505121,1R,SOUTHBOUND,PM PEAK,2
505122,1R,SOUTHBOUND,PM PEAK,2
505123,1R,SOUTHBOUND,PM PEAK,11
505124,1R,SOUTHBOUND,PM PEAK,2
505125,1R,SOUTHBOUND,PM PEAK,2
505126,1R,SOUTHBOUND,PM PEAK,2
505127,1R,SOUTHBOUND,PM PEAK,12
505128,1R,SOUTHBOUND,PM PEAK,2
505129,1R,SOUTHBOUND,PM PEAK,2
505130,1R,SOUTHBOUND,PM PEAK,2
505131,1R,SOUTHBOUND,PM PEAK,13
505132,1R,SOUTHBOUND,PM PEAK,5
505133,1R,SOUTHBOUND,MIDDAY,3
505134,1R,SOUTHBOUND,PM PEAK,5
505135,1R,SOUTHBOUND,PM PEAK,8
505136,1R,SOUTHBOUND,PM PEAK,8
505137,1R,SOUTHBOUND,PM PEAK,8
505138,1R,SOUTHBOUND,PM PEAK,9
505139,1R,SOUTHBOUND,PM PEAK,9
505140,1R,SOUTHBOUND,PM PEAK,9
505141,1R,SOUTHBOUND,PM PEAK,11
505142,1R,SOUTHBOUND,PM PEAK,13
505143,1R,SOUTHBOUND,PM PEAK,1
505144,1R,SOUTHBOUND,PM PEAK,13
505145,1R,SOUTHBOUND,PM PEAK,10
505147,1R,SOUTHBOUND,PM PEAK,5
505148,1R,SOUTHBOUND,PM PEAK,7
505149,1R,SOUTHBOUND,PM PEAK,5
505150,1R,SOUTHBOUND,PM PEAK,9
505151,1R,NORTHBOUND,MIDDAY,4
505152,1R,NORTHBOUND,MIDDAY,6
505153,1R,NORTHBOUND,MIDDAY,9
505155,1R,NORTHBOUND,MIDDAY,11
505156,1R,NORTHBOUND,MIDDAY,11
505157,1R,NORTHBOUND,MIDDAY,11
505158,1R,NORTHBOUND,MIDDAY,11
505159,1R,NORTHBOUND,MIDDAY,1
505160,1R,NORTHBOUND,MIDDAY,11
505161,1R,NORTHBOUND,MIDDAY,11
505163,1R,NORTHBOUND,MIDDAY,12
505164,1R,NORTHBOUND,MIDDAY,12
505165,1R,NORTHBOUND,MIDDAY,12
505166,1R,SOUTHBOUND,MIDDAY,14
505167,1R,SOUTHBOUND,MIDDAY,14
505168,1R,NORTHBOUND,MIDDAY,14
505169,1R,NORTHBOUND,MIDDAY,16
505171,1R,NORTHBOUND,MIDDAY,16
505172,1R,NORTHBOUND,MIDDAY,19
505173,1R,NORTHBOUND,MIDDAY,21
505174,1R,NORTHBOUND,MIDDAY,21
505175,1R,NORTHBOUND,MIDDAY,21
505176,1R,NORTHBOUND,MIDDAY,23
505178,1R,NORTHBOUND,MIDDAY,25
505179,1R,NORTHBOUND,MIDDAY,25
505180,1R,NORTHBOUND,MIDDAY,25
505181,1R,NORTHBOUND,MIDDAY,26
505182,1R,NORTHBOUND,MIDDAY,26
505183,1R,NORTHBOUND,MIDDAY,26
505184,1R,NORTHBOUND,MIDDAY,30
505185,1R,NORTHBOUND,MIDDAY,26
505186,1R,NORTHBOUND,MIDDAY,22
505187,1R,NORTHBOUND,MIDDAY,3
505188,1R,NORTHBOUND,MIDDAY,29
505189,1R,NORTHBOUND,MIDDAY,35
505190,1R,NORTHBOUND,MIDDAY,35
505191,1R,SOUTHBOUND,MIDDAY,
505192,1R,SOUTHBOUND,MIDDAY,2
505193,1R,SOUTHBOUND,MIDDAY,2
505194,1R,SOUTHBOUND,MIDDAY,2
505195,1R,SOUTHBOUND,MIDDAY,2
505196,1R,SOUTHBOUND,MIDDAY,3
505197,1R,SOUTHBOUND,MIDDAY,4
505198,1R,SOUTHBOUND,MIDDAY,4
505199,1R,SOUTHBOUND,MIDDAY,4
505200,1R,SOUTHBOUND,MIDDAY,4
505226,1R,NORTHBOUND,AM PEAK,1
505227,1R,NORTHBOUND,AM PEAK,1
505228,1R,NORTHBOUND,AM PEAK,8
505230,1R,NORTHBOUND,AM PEAK,12
505231,1R,NORTHBOUND,AM PEAK,8
505232,1R,NORTHBOUND,AM PEAK,10
505233,1R,NORTHBOUND,AM PEAK,10
505234,1R,NORTHBOUND,AM PEAK,
505235,1R,NORTHBOUND,AM PEAK,13
505236,1R,NORTHBOUND,AM PEAK,13
505237,1R,NORTHBOUND,AM PEAK,13
505238,1R,NORTHBOUND,AM PEAK,23
505240,1R,NORTHBOUND,AM PEAK,30
505242,1R,NORTHBOUND,MIDDAY,
505245,1R,NORTHBOUND,MIDDAY,27
505246,1R,NORTHBOUND,MIDDAY,29
505247,1R,NORTHBOUND,MIDDAY,
505249,1R,NORTHBOUND,MIDDAY,37
505250,1R,NORTHBOUND,MIDDAY,
505275,1R,SOUTHBOUND,MIDDAY,25
505277,1R,NORTHBOUND,AM PEAK,1
505278,1R,NORTHBOUND,AM PEAK,1
505279,1R,NORTHBOUND,AM PEAK,9
505280,1R,NORTHBOUND,AM PEAK,8
505281,1R,NORTHBOUND,AM PEAK,8
505282,1R,NORTHBOUND,AM PEAK,10
505283,1R,NORTHBOUND,AM PEAK,11
505287,1R,NORTHBOUND,MIDDAY,1
505289,1R,NORTHBOUND,MIDDAY,26
505291,1R,NORTHBOUND,MIDDAY,21
505292,1R,NORTHBOUND,MIDDAY,6
505293,1R,NORTHBOUND,MIDDAY,
505294,1R,NORTHBOUND,MIDDAY,
505295,1R,NORTHBOUND,MIDDAY,10
505297,1R,NORTHBOUND,MIDDAY,12
505298,1R,NORTHBOUND,MIDDAY,
505299,1R,NORTHBOUND,MIDDAY,
505300,1R,NORTHBOUND,MIDDAY,1
505301,1R,NORTHBOUND,AM PEAK,1
505302,1R,NORTHBOUND,AM PEAK,1
505303,1R,NORTHBOUND,AM PEAK,3
505304,1R,NORTHBOUND,AM PEAK,4
505305,1R,NORTHBOUND,AM PEAK,4
505306,1R,NORTHBOUND,AM PEAK,7
505307,1R,NORTHBOUND,AM PEAK,8
505308,1R,NORTHBOUND,AM PEAK,9
505309,1R,NORTHBOUND,AM PEAK,10
506026,1R,NORTHBOUND,MIDDAY,
506027,1R,NORTHBOUND,MIDDAY,
506028,1R,NORTHBOUND,MIDDAY,32
506029,1R,NORTHBOUND,MIDDAY,32
506030,1R,NORTHBOUND,MIDDAY,34
506031,1R,SOUTHBOUND,MIDDAY,
506032,1R,SOUTHBOUND,MIDDAY,2
506033,1R,SOUTHBOUND,MIDDAY,2
506034,1R,SOUTHBOUND,MIDDAY,
506036,1R,SOUTHBOUND,MIDDAY,2
506037,1R,SOUTHBOUND,MIDDAY,
506038,1R,SOUTHBOUND,MIDDAY,3
506039,1R,SOUTHBOUND,MIDDAY,
506040,1R,SOUTHBOUND,MIDDAY,
506041,1R,SOUTHBOUND,MIDDAY,9
506042,1R,SOUTHBOUND,MIDDAY,
506043,1R,SOUTHBOUND,MIDDAY,2
506044,1R,SOUTHBOUND,MIDDAY,
506045,1R,SOUTHBOUND,MIDDAY,
506046,1R,SOUTHBOUND,MIDDAY,3
506047,1R,SOUTHBOUND,MIDDAY,
506048,1R,SOUTHBOUND,MIDDAY,
506049,1R,SOUTHBOUND,MIDDAY,
506050,1R,SOUTHBOUND,MIDDAY,13
506051,1R,SOUTHBOUND,MIDDAY,
506052,1R,SOUTHBOUND,MIDDAY,
506053,1R,SOUTHBOUND,MIDDAY,8
506054,1R,SOUTHBOUND,MIDDAY,
506056,1R,SOUTHBOUND,MIDDAY,4
506057,1R,SOUTHBOUND,MIDDAY,10
506058,1R,SOUTHBOUND,MIDDAY,13
506059,1R,SOUTHBOUND,MIDDAY,
506060,1R,SOUTHBOUND,MIDDAY,17
506061,1R,SOUTHBOUND,MIDDAY,
506062,1R,SOUTHBOUND,MIDDAY,
506063,1R,NORTHBOUND,PM PEAK,
506064,1R,NORTHBOUND,PM PEAK,
506065,1R,NORTHBOUND,PM PEAK,
506066,1R,NORTHBOUND,PM PEAK,
506067,1R,NORTHBOUND,PM PEAK,
506068,1R,NORTHBOUND,PM PEAK,9
506069,1R,NORTHBOUND,PM PEAK,16
506070,1R,NORTHBOUND,PM PEAK,
506071,1R,NORTHBOUND,PM PEAK,
506072,1R,NORTHBOUND,PM PEAK,13
506073,1R,NORTHBOUND,PM PEAK,
506074,1R,NORTHBOUND,PM PEAK,
506076,1R,NORTHBOUND,PM PEAK,
506077,1R,NORTHBOUND,PM PEAK,29
506078,1R,NORTHBOUND,PM PEAK,
506079,1R,NORTHBOUND,PM PEAK,
506080,1R,NORTHBOUND,PM PEAK,
506081,1R,NORTHBOUND,PM PEAK,
506082,1R,NORTHBOUND,PM PEAK,
505380,1R,SOUTHBOUND,AM PEAK,10
505381,1R,SOUTHBOUND,AM PEAK,10
505382,1R,SOUTHBOUND,AM PEAK,11
505383,1R,NORTHBOUND,MIDDAY,1
505384,1R,NORTHBOUND,MIDDAY,
505385,1R,NORTHBOUND,MIDDAY,
505386,1R,NORTHBOUND,MIDDAY,1
