survey,survey_year,survey_name,canonical_name,canonical_operator,technology
FAST,2017,1,,FAIRFIELD-SUISUN,
FAST,2017,2,,FAIRFIELD-SUISUN,
FAST,2017,3,,FAIRFIELD-SUISUN,
FAST,2017,4,,FAIRFIELD-SUISUN,
FAST,2017,5,,FAIRFIELD-SUISUN,
FAST,2017,6,,FAIRFIELD-SUISUN,
FAST,2017,7,,FAIRFIELD-SUISUN,
FAST,2017,8,,FAIRFIELD-SUISUN,
FAST,2017,9,,FAIRFIELD-SUISUN,
FAST,2017,20,,FAIRFIELD-SUISUN,
FAST,2017,30,,FAIRFIELD-SUISUN,
FAST,2017,40,,FAIRFIELD-SUISUN,
FAST,2017,90,,FAIRFIELD-SUISUN,
Golden Gate Transit,2018,ROUTE 30 - San Rafael - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 30 - San Rafael - San Francisco [To San Rafael],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 2 - Marin City - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 101 - Santa Rosa - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Larkspur - San Francisco Ferry [To Larkspur],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Larkspur - San Francisco Ferry [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 70 - Novato - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 70 - Novato - San Francisco [To Novato],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 101 - Santa Rosa - San Francisco [To Santa Rosa],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 2 - Marin City - San Francisco [To Marin City],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 4 - Mill Valley - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 4 - Mill Valley - San Francisco [To Mill Valley],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 24X - Fairfax/Manor - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 101X - Santa Rosa - San Francisco [To Santa Rosa],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 24X - Fairfax/Manor - San Francisco [To Fairfax/Manor],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 40 - Del Norte BART Station - San Rafael [To San Rafael],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 40 - Del Norte BART Station - San Rafael [To Del Norte BART Station],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 54 - Novato/San Marin - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 76 - East Petaluma - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 74 - Santa Rosa - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 54 - Novato/San Marin - San Francisco [To Novato/San Marin],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 74 - Santa Rosa - San Francisco [To Santa Rosa],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 76 - East Petaluma - San Francisco [To East Petaluma],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 27 - San Anselmo -San Rafael - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 92 - Marin City - San Francisco [To Marin City],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 27 - San Anselmo -San Rafael - San Francisco [To San Rafael],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 92 - Marin City - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 56 - San Marin - San Francisco [To San Marin],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 56 - San Marin - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 72 - Santa Rosa - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 38 - Terra Linda - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 72 - Santa Rosa - San Francisco [To Santa Rosa],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 72X - Santa Rosa - San Francisco [To Santa Rosa],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 38 - Terra Linda - San Francisco [To Terra Linda],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 24 - Fairfax/Manor - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 18 - College of Marin - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 93 - Golden Gate Bridge Toll Plaza - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 8 - Tiburon - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 25 - Fairfax/Manor - Larkspur Ferry Terminal [To Larkspur Ferry Terminal],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 44 - Lucas Valley - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 24 - Fairfax/Manor - San Francisco [To Fairfax/Manor],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 44 - Lucas Valley - San Francisco [To Lucas Valley],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 25 - Fairfax/Manor - Larkspur Ferry Terminal [To Fairfax/Manor],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 93 - Golden Gate Bridge Toll Plaza - San Francisco [To Golden Gate Bridge Toll Plaza],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 18 - College of Marin - San Francisco [To College of Marin],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 31 - San Rafael - Larkspur Ferry Terminal [To San Rafael],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 101X - Santa Rosa - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 31 - San Rafael - Larkspur Ferry Terminal [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 8 - Tiburon - San Francisco [To Tiburon],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 58 - Hamilton/Novato - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 58 - Hamilton/Novato - San Francisco [To Hamilton/Novato],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Tiburon - San Francisco Ferry [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 40X - Del Norte BART Station - San Rafael [To San Rafael],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 40X - Del Norte BART Station - San Rafael [To Del Norte BART Station],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,ROUTE 72X - Santa Rosa - San Francisco [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Tiburon - San Francisco Ferry [To Tiburon],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Sausalito - San Francisco Ferry [To Sausalito],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Sausalito - San Francisco Ferry [To San Francisco],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Baseball Ferry [To AT&T Park],,GOLDEN GATE TRANSIT,
Golden Gate Transit,2018,Baseball Ferry [To Larkspur],,GOLDEN GATE TRANSIT,
Napa Vine,2019,29_NORTH,,NAPA VINE,
Napa Vine,2019,2_LOOP,,NAPA VINE,
Napa Vine,2019,3_LOOP,,NAPA VINE,
Napa Vine,2019,29_SOUTH,,NAPA VINE,
Napa Vine,2019,10_SOUTH,,NAPA VINE,
Napa Vine,2019,1_LOOP,,NAPA VINE,
Napa Vine,2019,10_NORTH,,NAPA VINE,
Napa Vine,2019,4_LOOP,,NAPA VINE,
Napa Vine,2019,11_NORTH,,NAPA VINE,
Napa Vine,2019,8_SOUTH,,NAPA VINE,
Napa Vine,2019,21_EAST,,NAPA VINE,
Napa Vine,2019,5_LOOP,,NAPA VINE,
Napa Vine,2019,8_NORTH,,NAPA VINE,
Napa Vine,2019,21_WEST,,NAPA VINE,
Napa Vine,2019,11_SOUTH,,NAPA VINE,
Napa Vine,2019,7_LOOP,,NAPA VINE,
Napa Vine,2019,6_LOOP,,NAPA VINE,
WestCAT,2017,2,,WESTCAT,
WestCAT,2017,14,,WESTCAT,
WestCAT,2017,15,,WESTCAT,
WestCAT,2017,11,,WESTCAT,
WestCAT,2017,12,,WESTCAT,
WestCAT,2017,10,,WESTCAT,
WestCAT,2017,3,,WESTCAT,
WestCAT,2017,4,,WESTCAT,
WestCAT,2017,8,,WESTCAT,
WestCAT,2017,7,,WESTCAT,
WestCAT,2017,5,,WESTCAT,
WestCAT,2017,9,,WESTCAT,
WestCAT,2017,1,,WESTCAT,
WestCAT,2017,13,,WESTCAT,
WestCAT,2017,6,,WESTCAT,
