"","survey","entry","base_name","operator"
"1","SFMTA","10-Townsend [ INBOUND ]","10-Townsend","MUNI"
"2","SFMTA","10-Townsend [ OUTBOUND ]","10-Townsend","MUNI"
"3","SFMTA","12-Folsom/Pacific [ INBOUND ]","12-Folsom/Pacific","MUNI"
"4","SFMTA","12-Folsom/Pacific [ OUTBOUND ]","12-Folsom/Pacific","MUNI"
"5","SFMTA","14-Mission [ INBOUND ]","14-Mission","MUNI"
"6","SFMTA","14-Mission [ OUTBOUND ]","14-Mission","MUNI"
"7","SFMTA","14R-Mission Rapid [ INBOUND ]","14R-Mission Rapid","MUNI"
"8","SFMTA","14R-Mission Rapid [ OUTBOUND ]","14R-Mission Rapid","MUNI"
"9","SFMTA","14X-Mission Express [ INBOUND ]","14X-Mission Express","MUNI"
"10","SFMTA","14X-Mission Express [ OUTBOUND ]","14X-Mission Express","MUNI"
"11","SFMTA","18-46th Avenue [ INBOUND ]","18-46th Avenue","MUNI"
"12","SFMTA","18-46th Avenue [ OUTBOUND ]","18-46th Avenue","MUNI"
"13","SFMTA","19-Polk [ INBOUND ]","19-Polk","MUNI"
"14","SFMTA","19-Polk [ OUTBOUND ]","19-Polk","MUNI"
"15","SFMTA","1AX-California A Express [ INBOUND ]","1AX-California A Express","MUNI"
"16","SFMTA","1AX-California A Express [ OUTBOUND ]","1AX-California A Express","MUNI"
"17","SFMTA","1BX-California B Express [ INBOUND ]","1BX-California B Express","MUNI"
"18","SFMTA","1BX-California B Express [ OUTBOUND ]","1BX-California B Express","MUNI"
"19","SFMTA","1-California [ INBOUND ]","1-California","MUNI"
"20","SFMTA","1-California [ OUTBOUND ]","1-California","MUNI"
"21","SFMTA","21-Hayes [ INBOUND ]","21-Hayes","MUNI"
"22","SFMTA","21-Hayes [ OUTBOUND ]","21-Hayes","MUNI"
"23","SFMTA","22-Fillmore [ INBOUND ]","22-Fillmore","MUNI"
"24","SFMTA","22-Fillmore [ OUTBOUND ]","22-Fillmore","MUNI"
"25","SFMTA","23-Monterey [ INBOUND ]","23-Monterey","MUNI"
"26","SFMTA","23-Monterey [ OUTBOUND ]","23-Monterey","MUNI"
"27","SFMTA","24-Divisadero [ INBOUND ]","24-Divisadero","MUNI"
"28","SFMTA","24-Divisadero [ OUTBOUND ]","24-Divisadero","MUNI"
"29","SFMTA","25-Treasure Island [ INBOUND ]","25-Treasure Island","MUNI"
"30","SFMTA","25-Treasure Island [ OUTBOUND ]","25-Treasure Island","MUNI"
"31","SFMTA","27-Bryant [ INBOUND ]","27-Bryant","MUNI"
"32","SFMTA","27-Bryant [ OUTBOUND ]","27-Bryant","MUNI"
"33","SFMTA","28-19th Avenue [ INBOUND ]","28-19th Avenue","MUNI"
"34","SFMTA","28-19th Avenue [ OUTBOUND ]","28-19th Avenue","MUNI"
"35","SFMTA","28R-19th Avenue Rapid [ INBOUND ]","28R-19th Avenue Rapid","MUNI"
"36","SFMTA","28R-19th Avenue Rapid [ OUTBOUND ]","28R-19th Avenue Rapid","MUNI"
"37","SFMTA","29-Sunset [ INBOUND ]","29-Sunset","MUNI"
"38","SFMTA","29-Sunset [ OUTBOUND ]","29-Sunset","MUNI"
"39","SFMTA","2-Clement [ INBOUND ]","2-Clement","MUNI"
"40","SFMTA","2-Clement [ OUTBOUND ]","2-Clement","MUNI"
"41","SFMTA","30-Stockton [ INBOUND ]","30-Stockton","MUNI"
"42","SFMTA","30-Stockton [ OUTBOUND ]","30-Stockton","MUNI"
"43","SFMTA","30X-Marina Express [ INBOUND ]","30X-Marina Express","MUNI"
"44","SFMTA","30X-Marina Express [ OUTBOUND ]","30X-Marina Express","MUNI"
"45","SFMTA","31AX-Balboa A Express [ INBOUND ]","31AX-Balboa A Express","MUNI"
"46","SFMTA","31AX-Balboa A Express [ OUTBOUND ]","31AX-Balboa A Express","MUNI"
"47","SFMTA","31-Balboa [ INBOUND ]","31-Balboa","MUNI"
"48","SFMTA","31-Balboa [ OUTBOUND ]","31-Balboa","MUNI"
"49","SFMTA","31BX-Balboa B Express [ INBOUND ]","31BX-Balboa B Express","MUNI"
"50","SFMTA","31BX-Balboa B Express [ OUTBOUND ]","31BX-Balboa B Express","MUNI"
"51","SFMTA","33-Ashbury/18th [ INBOUND ]","33-Ashbury/18th","MUNI"
"52","SFMTA","33-Ashbury/18th [ OUTBOUND ]","33-Ashbury/18th","MUNI"
"53","SFMTA","35-Eureka [ INBOUND ]","35-Eureka","MUNI"
"54","SFMTA","35-Eureka [ OUTBOUND ]","35-Eureka","MUNI"
"55","SFMTA","36-Teresita [ INBOUND ]","36-Teresita","MUNI"
"56","SFMTA","36-Teresita [ OUTBOUND ]","36-Teresita","MUNI"
"57","SFMTA","37-Corbett [ INBOUND ]","37-Corbett","MUNI"
"58","SFMTA","37-Corbett [ OUTBOUND ]","37-Corbett","MUNI"
"59","SFMTA","38AX-Geary A Express [ INBOUND ]","38AX-Geary A Express","MUNI"
"60","SFMTA","38AX-Geary A Express [ OUTBOUND ]","38AX-Geary A Express","MUNI"
"61","SFMTA","38BX-Geary B Express [ INBOUND ]","38BX-Geary B Express","MUNI"
"62","SFMTA","38BX-Geary B Express [ OUTBOUND ]","38BX-Geary B Express","MUNI"
"63","SFMTA","38-Geary [ INBOUND ]","38-Geary","MUNI"
"64","SFMTA","38-Geary [ OUTBOUND ]","38-Geary","MUNI"
"65","SFMTA","38R-Geary Rapid [ INBOUND ]","38R-Geary Rapid","MUNI"
"66","SFMTA","38R-Geary Rapid [ OUTBOUND ]","38R-Geary Rapid","MUNI"
"67","SFMTA","39-Coit [ INBOUND ]","39-Coit","MUNI"
"68","SFMTA","39-Coit [ OUTBOUND ]","39-Coit","MUNI"
"69","SFMTA","3-Jackson [ INBOUND ]","3-Jackson","MUNI"
"70","SFMTA","3-Jackson [ OUTBOUND ]","3-Jackson","MUNI"
"71","SFMTA","41-Union [ INBOUND ]","41-Union","MUNI"
"72","SFMTA","41-Union [ OUTBOUND ]","41-Union","MUNI"
"73","SFMTA","43-Masonic [ INBOUND ]","43-Masonic","MUNI"
"74","SFMTA","43-Masonic [ OUTBOUND ]","43-Masonic","MUNI"
"75","SFMTA","44-OShaughnessy [ INBOUND ]","44-OShaughnessy","MUNI"
"76","SFMTA","44-OShaughnessy [ OUTBOUND ]","44-OShaughnessy","MUNI"
"77","SFMTA","45-Union/Stockton [ INBOUND ]","45-Union/Stockton","MUNI"
"78","SFMTA","45-Union/Stockton [ OUTBOUND ]","45-Union/Stockton","MUNI"
"79","SFMTA","47-Van Ness [ INBOUND ]","47-Van Ness","MUNI"
"80","SFMTA","47-Van Ness [ OUTBOUND ]","47-Van Ness","MUNI"
"81","SFMTA","48-Quintara/24th Street [ INBOUND ]","48-Quintara/24th Street","MUNI"
"82","SFMTA","48-Quintara/24th Street [ OUTBOUND ]","48-Quintara/24th Street","MUNI"
"83","SFMTA","49-Van Ness/Mission [ INBOUND ]","49-Van Ness/Mission","MUNI"
"84","SFMTA","49-Van Ness/Mission [ OUTBOUND ]","49-Van Ness/Mission","MUNI"
"85","SFMTA","52-Excelsior [ INBOUND ]","52-Excelsior","MUNI"
"86","SFMTA","52-Excelsior [ OUTBOUND ]","52-Excelsior","MUNI"
"87","SFMTA","54-Felton [ INBOUND ]","54-Felton","MUNI"
"88","SFMTA","54-Felton [ OUTBOUND ]","54-Felton","MUNI"
"89","SFMTA","55-16th Street [ INBOUND ]","55-16th Street","MUNI"
"90","SFMTA","55-16th Street [ OUTBOUND ]","55-16th Street","MUNI"
"91","SFMTA","56-Rutland [ INBOUND ]","56-Rutland","MUNI"
"92","SFMTA","56-Rutland [ OUTBOUND ]","56-Rutland","MUNI"
"93","SFMTA","57-Parkmerced [ INBOUND ]","57-Parkmerced","MUNI"
"94","SFMTA","57-Parkmerced [ OUTBOUND ]","57-Parkmerced","MUNI"
"95","SFMTA","5-Fulton [ INBOUND ]","5-Fulton","MUNI"
"96","SFMTA","5-Fulton [ OUTBOUND ]","5-Fulton","MUNI"
"97","SFMTA","5R-Fulton Rapid [ INBOUND ]","5R-Fulton Rapid","MUNI"
"98","SFMTA","5R-Fulton Rapid [ OUTBOUND ]","5R-Fulton Rapid","MUNI"
"99","SFMTA","66-Quintara [ INBOUND ]","66-Quintara","MUNI"
"100","SFMTA","66-Quintara [ OUTBOUND ]","66-Quintara","MUNI"
"101","SFMTA","67-Bernal Heights [ INBOUND ]","67-Bernal Heights","MUNI"
"102","SFMTA","67-Bernal Heights [ OUTBOUND ]","67-Bernal Heights","MUNI"
"103","SFMTA","6-Haight/Parnassus [ INBOUND ]","6-Haight/Parnassus","MUNI"
"104","SFMTA","6-Haight/Parnassus [ OUTBOUND ]","6-Haight/Parnassus","MUNI"
"105","SFMTA","7-Haight/Noriega [ INBOUND ]","7-Haight/Noriega","MUNI"
"106","SFMTA","7-Haight/Noriega [ OUTBOUND ]","7-Haight/Noriega","MUNI"
"107","SFMTA","7R-Haight/Noriega Rapid [ INBOUND ]","7R-Haight/Noriega Rapid","MUNI"
"108","SFMTA","7R-Haight/Noriega Rapid [ OUTBOUND ]","7R-Haight/Noriega Rapid","MUNI"
"109","SFMTA","7X-Noriega Express [ INBOUND ]","7X-Noriega Express","MUNI"
"110","SFMTA","7X-Noriega Express [ OUTBOUND ]","7X-Noriega Express","MUNI"
"111","SFMTA","81X-Caltrain Express [ INBOUND ]","81X-Caltrain Express","Caltrain"
"112","SFMTA","82X-Levi Plaza Express [ INBOUND ]","82X-Levi Plaza Express","MUNI"
"113","SFMTA","82X-Levi Plaza Express [ OUTBOUND ]","82X-Levi Plaza Express","MUNI"
"114","SFMTA","83X-Mid-Market Express [ INBOUND ]","83X-Mid-Market Express","MUNI"
"115","SFMTA","83X-Mid-Market Express [ OUTBOUND ]","83X-Mid-Market Express","MUNI"
"116","SFMTA","88-BART Shuttle [ INBOUND ]","88-BART Shuttle","MUNI"
"117","SFMTA","88-BART Shuttle [ OUTBOUND ]","88-BART Shuttle","MUNI"
"118","SFMTA","8AX-Bayshore A Express [ INBOUND ]","8AX-Bayshore A Express","MUNI"
"119","SFMTA","8AX-Bayshore A Express [ OUTBOUND ]","8AX-Bayshore A Express","MUNI"
"120","SFMTA","8-Bayshore [ INBOUND ]","8-Bayshore","MUNI"
"121","SFMTA","8-Bayshore [ OUTBOUND ]","8-Bayshore","MUNI"
"122","SFMTA","8BX-Bayshore B Express [ INBOUND ]","8BX-Bayshore B Express","MUNI"
"123","SFMTA","8BX-Bayshore B Express [ OUTBOUND ]","8BX-Bayshore B Express","MUNI"
"124","SFMTA","90-San Bruno Owl [ INBOUND ]","90-San Bruno Owl","MUNI"
"125","SFMTA","90-San Bruno Owl [ OUTBOUND ]","90-San Bruno Owl","MUNI"
"126","SFMTA","91-Owl [ INBOUND ]","91-Owl","MUNI"
"127","SFMTA","91-Owl [ OUTBOUND ]","91-Owl","MUNI"
"128","SFMTA","9R-San Bruno Rapid [ INBOUND ]","9R-San Bruno Rapid","MUNI"
"129","SFMTA","9R-San Bruno Rapid [ OUTBOUND ]","9R-San Bruno Rapid","MUNI"
"130","SFMTA","9-San Bruno [ INBOUND ]","9-San Bruno","MUNI"
"131","SFMTA","9-San Bruno [ OUTBOUND ]","9-San Bruno","MUNI"
"132","SFMTA","California Cable Car [ INBOUND ]","California Cable Car","MUNI"
"133","SFMTA","California Cable Car [ OUTBOUND ]","California Cable Car","MUNI"
"134","SFMTA","E-Embarcadero [ INBOUND ]","E-Embarcadero","MUNI"
"135","SFMTA","E-Embarcadero [ OUTBOUND ]","E-Embarcadero","MUNI"
"136","SFMTA","F-Market & Wharves [ INBOUND ]","F-Market & Wharves","MUNI"
"137","SFMTA","F-Market & Wharves [ OUTBOUND ]","F-Market & Wharves","MUNI"
"138","SFMTA","J-Church [ INBOUND ]","J-Church","MUNI"
"139","SFMTA","J-Church [ OUTBOUND ]","J-Church","MUNI"
"140","SFMTA","KT-Ingleside/Third Street [ INBOUND ]","KT-Ingleside/Third Street","MUNI"
"141","SFMTA","KT-Ingleside/Third Street [ OUTBOUND ]","KT-Ingleside/Third Street","MUNI"
"142","SFMTA","L-Taraval [ INBOUND ]","L-Taraval","MUNI"
"143","SFMTA","L-Taraval [ OUTBOUND ]","L-Taraval","MUNI"
"144","SFMTA","M-Ocean View [ INBOUND ]","M-Ocean View","MUNI"
"145","SFMTA","M-Ocean View [ OUTBOUND ]","M-Ocean View","MUNI"
"146","SFMTA","N-Judah [ INBOUND ]","N-Judah","MUNI"
"147","SFMTA","N-Judah [ OUTBOUND ]","N-Judah","MUNI"
"148","SFMTA","NX-N Express [ INBOUND ]","NX-N Express","MUNI"
"149","SFMTA","NX-N Express [ OUTBOUND ]","NX-N Express","MUNI"
"150","SFMTA","Powell/Hyde Cable Car [ INBOUND ]","Powell/Hyde Cable Car","MUNI"
"151","SFMTA","Powell/Hyde Cable Car [ OUTBOUND ]","Powell/Hyde Cable Car","MUNI"
"152","SFMTA","Powell/Mason Cable Car [ INBOUND ]","Powell/Mason Cable Car","MUNI"
"153","SFMTA","Powell/Mason Cable Car [ OUTBOUND ]","Powell/Mason Cable Car","MUNI"
"154","SFMTA","76X-Marin Headlands Express [ INBOUND ]","76X-Marin Headlands Express","MUNI"
"155","SFMTA","76X-Marin Headlands Express [ OUTBOUND ]","76X-Marin Headlands Express","MUNI"
"156","SFMTA","Missing - Dummy Record","Missing - Dummy Record","Missing"
"157","SFMTA","BART","BART","BAD REFERENCE"
"158","SFMTA","MUNI 8AX-Bayshore A Express","8AX-Bayshore A Express","MUNI"
"159","SFMTA","MUNI 14-Mission","14-Mission","MUNI"
"160","SFMTA","AC 51A Rockridge BART to Fruitvale BART","51A Rockridge BART to Fruitvale BART","AC"
"161","SFMTA","MUNI 29-Sunset","29-Sunset","MUNI"
"162","SFMTA","County Connection 11 BART Concord/BART Pleasant","11 BART Concord/BART Pleasant","County Connection"
"163","SFMTA","CALTRAIN","CALTRAIN","BAD REFERENCE"
"164","SFMTA","MUNI 9R-San Bruno Rapid","9R-San Bruno Rapid","MUNI"
"165","SFMTA","SamTrans 131 Airport/Linden - Serramonte Center","131 Airport/Linden - Serramonte Center","SamTrans"
"166","SFMTA","Golden Gate 54 San Marin - San Francisco","54 San Marin - San Francisco","Golden Gate"
"167","SFMTA","MUNI 23-Monterey","23-Monterey","MUNI"
"168","SFMTA","MUNI T OWL","T OWL","MUNI"
"169","SFMTA","MUNI 9-San Bruno","9-San Bruno","MUNI"
"170","SFMTA","Golden Gate 74 Santa Rosa - Cotati - San Francisco","74 Santa Rosa - Cotati - San Francisco","Golden Gate"
"171","SFMTA","AC O Park Ave. & Encinal Ave. Alameda","O Park Ave. & Encinal Ave. Alameda","AC"
"172","SFMTA","MUNI 1-California","1-California","MUNI"
"173","SFMTA","Golden Gate 24 Manor - Fairfax - San Francisco","24 Manor - Fairfax - San Francisco","Golden Gate"
"174","SFMTA","Emery Go-Round Hollis South","Go-Round Hollis South","Emery"
"175","SFMTA","MUNI 19-Polk","19-Polk","MUNI"
"176","SFMTA","MUNI 55-16th Street","55-16th Street","MUNI"
"177","SFMTA","MUNI 22-Fillmore","22-Fillmore","MUNI"
"178","SFMTA","MUNI L-Taraval","L-Taraval","MUNI"
"179","SFMTA","MUNI 38-Geary","38-Geary","MUNI"
"180","SFMTA","AC NL Eastmont Transit Center Oakland","NL Eastmont Transit Center Oakland","AC"
"181","SFMTA","MUNI 5-Fulton","5-Fulton","MUNI"
"182","SFMTA","MUNI 49-Van Ness/Mission","49-Van Ness/Mission","MUNI"
"183","SFMTA","MUNI 14R-Mission Rapid","14R-Mission Rapid","MUNI"
"184","SFMTA","MUNI 67-Bernal Heights","67-Bernal Heights","MUNI"
"185","SFMTA","MUNI 47-Van Ness","47-Van Ness","MUNI"
"186","SFMTA","MUNI 41-Union","41-Union","MUNI"
"187","SFMTA","MUNI 44-OShaughnessy","44-OShaughnessy","MUNI"
"188","SFMTA","MUNI 24-Divisadero","24-Divisadero","MUNI"
"189","SFMTA","MUNI 8-Bayshore","8-Bayshore","MUNI"
"190","SFMTA","SamTrans ECR Palo Alto - Daly City","ECR Palo Alto - Daly City","SamTrans"
"191","SFMTA","MUNI KT-Ingleside/Third Street","KT-Ingleside/Third Street","MUNI"
"192","SFMTA","MUNI 48-Quintara/24th Street","48-Quintara/24th Street","MUNI"
"193","SFMTA","SamTrans 121 Skyline College Daly City BART","121 Skyline College Daly City BART","SamTrans"
"194","SFMTA","MUNI 43-Masonic","43-Masonic","MUNI"
"195","SFMTA","SamTrans 120 Colma BART Daly City BART","120 Colma BART Daly City BART","SamTrans"
"196","SFMTA","MUNI 54-Felton","54-Felton","MUNI"
"197","SFMTA","MUNI M-Ocean View","M-Ocean View","MUNI"
"198","SFMTA","MUNI N-Judah","N-Judah","MUNI"
"199","SFMTA","MUNI 7-Haight/Noriega","7-Haight/Noriega","MUNI"
"200","SFMTA","SamTrans 130 South San Francisco BART Daly City BART","130 South San Francisco BART Daly City BART","SamTrans"
"201","SFMTA","MUNI 25-Treasure Island","25-Treasure Island","MUNI"
"202","SFMTA","Blue & Gold Tiburon Ferry","Tiburon Ferry","Blue & Gold"
"203","SFMTA","Golden Gate 27 San Anselmo - San Francisco","27 San Anselmo - San Francisco","Golden Gate"
"204","SFMTA","MUNI 38R-Geary Rapid","38R-Geary Rapid","MUNI"
"205","SFMTA","MUNI 30-Stockton","30-Stockton","MUNI"
"206","SFMTA","MUNI 31-Balboa","31-Balboa","MUNI"
"207","SFMTA","MUNI 33-Ashbury/18th","33-Ashbury/18th","MUNI"
"208","SFMTA","AC F UC Campus Berkeley","F UC Campus Berkeley","AC"
"209","SFMTA","MUNI 45-Union/Stockton","45-Union/Stockton","MUNI"
"210","SFMTA","MUNI 8BX-Bayshore B Express","8BX-Bayshore B Express","MUNI"
"211","SFMTA","MUNI F-Market & Wharves","F-Market & Wharves","MUNI"
"212","SFMTA","MUNI 5R-Fulton Rapid","5R-Fulton Rapid","MUNI"
"213","SFMTA","SamTrans 292 Hillsdale Shopping Center SF International Airport San Francisco","292 Hillsdale Shopping Center SF International Airport San Francisco","SamTrans"
"214","SFMTA","MUNI N OWL","N OWL","MUNI"
"215","SFMTA","MUNI 28-19th Avenue","28-19th Avenue","MUNI"
"216","SFMTA","SamTrans 110 Linda Mar Daly City BART","110 Linda Mar Daly City BART","SamTrans"
"217","SFMTA","MUNI 28R-19th Avenue Rapid","28R-19th Avenue Rapid","MUNI"
"218","SFMTA","AC NX Seminary Ave. & MacArthur Blvd.","NX Seminary Ave. & MacArthur Blvd.","AC"
"219","SFMTA","MUNI 12-Folsom/Pacific","12-Folsom/Pacific","MUNI"
"220","SFMTA","AC 70 Richmond BART to Richmond Pkwy. Transit Center","70 Richmond BART to Richmond Pkwy. Transit Center","AC"
"221","SFMTA","AC 88 Berkeley BART to Lake Merritt BART","88 Berkeley BART to Lake Merritt BART","AC"
"222","SFMTA","MUNI 6-Haight/Parnassus","6-Haight/Parnassus","MUNI"
"223","SFMTA","MUNI E-Embarcadero","E-Embarcadero","MUNI"
"224","SFMTA","MUNI 21-Hayes","21-Hayes","MUNI"
"225","SFMTA","MUNI 27-Bryant","27-Bryant","MUNI"
"226","SFMTA","AC 45 Eastmont Transit Center to Foothill Square Oakland","45 Eastmont Transit Center to Foothill Square Oakland","AC"
"227","SFMTA","MUNI J-Church","J-Church","MUNI"
"228","SFMTA","MUNI 18-46th Avenue","18-46th Avenue","MUNI"
"229","SFMTA","MUNI 57-Parkmerced","57-Parkmerced","MUNI"
"230","SFMTA","Tri Delta 300 Pittsburg BART / Brentwood Park & Ride","300 Pittsburg BART / Brentwood Park & Ride","Tri Delta"
"231","SFMTA","AC 73 Eastmont Transit Center to Oakland Airport","73 Eastmont Transit Center to Oakland Airport","AC"
"232","SFMTA","San Francisco Bay Ferry Alameda/Oakland Ferry","Alameda/Oakland Ferry","San Francisco Bay Ferry"
"233","SFMTA","San Francisco Bay Ferry Harbor Bay Ferry","Harbor Bay Ferry","San Francisco Bay Ferry"
"234","SFMTA","AC 62 West Oakland BART to Fruitvale BART","62 West Oakland BART to Fruitvale BART","AC"
"235","SFMTA","San Francisco Bay Ferry Vallejo Ferry","Vallejo Ferry","San Francisco Bay Ferry"
"236","SFMTA","AC 18 University Village Albany to Montclair","18 University Village Albany to Montclair","AC"
"237","SFMTA","AC 72 Hilltop Mall to Oakland Amtrak","72 Hilltop Mall to Oakland Amtrak","AC"
"238","SFMTA","MUNI Powell/Hyde Cable Car","Powell/Hyde Cable Car","MUNI"
"239","SFMTA","Golden Gate 2 Marin Headlands","2 Marin Headlands","Golden Gate"
"240","SFMTA","MUNI 1BX-California B Express","1BX-California B Express","MUNI"
"241","SFMTA","AC 14 Downtown Oakland to Fruitvale BART","14 Downtown Oakland to Fruitvale BART","AC"
"242","SFMTA","Marin 228 College of Marin/Indian Valley Campus","228 College of Marin/Indian Valley Campus","Marin[ ]*"
"243","SFMTA","SolTrans 4 Tuolumne St / Vallejo Transit Center","4 Tuolumne St / Vallejo Transit Center","SolTrans"
"244","SFMTA","VTA 902 Light Rail","902 Light Rail","VTA"
"245","SFMTA","MUNI 10-Townsend","10-Townsend","MUNI"
"246","SFMTA","MUNI 91-Owl","91-Owl","MUNI"
"247","SFMTA","MUNI 30X-Marina Express","30X-Marina Express","MUNI"
"248","SFMTA","MUNI 2-Clement","2-Clement","MUNI"
"249","SFMTA","AC 51B Rockridge BART to Berkeley Amtrak","51B Rockridge BART to Berkeley Amtrak","AC"
"250","SFMTA","Golden Gate 18 College of Marin - San Francisco","18 College of Marin - San Francisco","Golden Gate"
"251","SFMTA","MUNI 36-Teresita","36-Teresita","MUNI"
"252","SFMTA","MUNI 37-Corbett","37-Corbett","MUNI"
"253","SFMTA","WestCAT 15 Local - Viewpointe to Hercules Transit Center.","15 Local - Viewpointe to Hercules Transit Center.","WestCAT"
"254","SFMTA","SamTrans 141 Downtown San Bruno San Bruno BART","141 Downtown San Bruno San Bruno BART","SamTrans"
"255","SFMTA","AC 20 Dimond District Oakland to downtown Oakland","20 Dimond District Oakland to downtown Oakland","AC"
"256","SFMTA","Golden Gate 4 Mill Valley - San Francisco","4 Mill Valley - San Francisco","Golden Gate"
"257","SFMTA","Golden Gate 101 Santa Rosa - San Francisco","101 Santa Rosa - San Francisco","Golden Gate"
"258","SFMTA","MUNI Powell/Mason Cable Car","Powell/Mason Cable Car","MUNI"
"259","SFMTA","SamTrans 140 Pacific Manor San Bruno BART","140 Pacific Manor San Bruno BART","SamTrans"
"260","SFMTA","MUNI 7X-Noriega Express","7X-Noriega Express","MUNI"
"261","SFMTA","SolTrans 80 Vallejo/El Cerrito Del Norte BART","80 Vallejo/El Cerrito Del Norte BART","SolTrans"
"262","SFMTA","AC 89 San Leandro BART to Bay Fair BART","89 San Leandro BART to Bay Fair BART","AC"
"263","SFMTA","Alcatraz Hornblower Ferry","Hornblower Ferry","Alcatraz"
"264","SFMTA","MUNI 14X-Mission Express","14X-Mission Express","MUNI"
"265","SFMTA","MUNI 52-Excelsior","52-Excelsior","MUNI"
"266","SFMTA","SamTrans 260 Carlmont Village San Carlos Caltrain","260 Carlmont Village San Carlos Caltrain","SamTrans"
"267","SFMTA","Stanford Marguerite Shuttle Line S","Marguerite Shuttle Line S","Stanford"
"268","SFMTA","MUNI 31AX-Balboa A Express","31AX-Balboa A Express","MUNI"
"269","SFMTA","MUNI 7R-Haight/Noriega Rapid","7R-Haight/Noriega Rapid","MUNI"
"270","SFMTA","Emery Go-Round Shellmound/Powell","Go-Round Shellmound/Powell","Emery"
"271","SFMTA","MUNI 35-Eureka","35-Eureka","MUNI"
"272","SFMTA","MUNI S Light Rail: Castro Shuttle - Metro","S Light Rail: Castro Shuttle - Metro","MUNI"
"273","SFMTA","AC LA Hilltop Dr. Park & Ride","LA Hilltop Dr. Park & Ride","AC"
"274","SFMTA","AC FS Solano Ave. Berkeley","FS Solano Ave. Berkeley","AC"
"275","SFMTA","AC 200 Union City BART Fremont BART","200 Union City BART Fremont BART","AC"
"276","SFMTA","Other","Other","BAD REFERENCE"
"277","SFMTA","County Connection 17 BART Concord/North Concord","17 BART Concord/North Concord","County Connection"
