info_type,generic_variable,variable_type,data_type,valid_values_for_categoric_variables,other_requirements
basic survey info,ID,numerical,integer,,identical
basic survey info,route,non-categorical,string,,
basic survey info,date_string,non-categorical,string,,
basic survey info,time_string,non-categorical,string,,
basic survey info,survey_alight_lat,numerical,float,,
basic survey info,survey_alight_lon,numerical,float,,
basic survey info,survey_board_lat,numerical,float,,
basic survey info,survey_board_lon,numerical,float,,
trip info,orig_purp,categoric,string,home,
trip info,orig_purp,categoric,string,work,
trip info,orig_purp,categoric,string,work-related,
trip info,orig_purp,categoric,string,business apt,
trip info,orig_purp,categoric,string,school,
trip info,orig_purp,categoric,string,grade school,
trip info,orig_purp,categoric,string,college,
trip info,orig_purp,categoric,string,eat out,
trip info,orig_purp,categoric,string,social recreation,
trip info,orig_purp,categoric,string,escorting,
trip info,orig_purp,categoric,string,shopping,
trip info,orig_purp,categoric,string,airport,
trip info,orig_purp,categoric,string,hotel,
trip info,orig_purp,categoric,string,other maintenance,
trip info,orig_purp,categoric,string,other discretionary,
trip info,orig_purp,categoric,string,other,
trip info,orig_lat,numerical,float,,
trip info,orig_lon,numerical,float,,
trip info,access_mode,categoric,string,walk,
trip info,access_mode,categoric,string,bike,
trip info,access_mode,categoric,string,pnr,
trip info,access_mode,categoric,string,knr,
trip info,access_mode,categoric,string,other,
trip info,first_board_lat,numerical,float,,
trip info,first_board_lon,numerical,float,,
trip info,number_transfers_orig_board,numerical,integer,,
trip info,first_route_before_survey_board,non-categorical,string,,contains operator and route info
trip info,second_route_before_survey_board,non-categorical,string,,contains operator and route info
trip info,third_route_before_survey_board,non-categorical,string,,contains operator and route info
trip info,number_transfers_alight_dest,numerical,integer,,
trip info,first_route_after_survey_alight,non-categorical,string,,contains operator and route info
trip info,second_route_after_survey_alight,non-categorical,string,,contains operator and route info
trip info,third_route_after_survey_alight,non-categorical,string,,contains operator and route info
trip info,egress_mode,categoric,string,walk,
trip info,egress_mode,categoric,string,bike,
trip info,egress_mode,categoric,string,pnr,
trip info,egress_mode,categoric,string,knr,
trip info,egress_mode,categoric,string,other,
trip info,last_alight_lat,numerical,float,,
trip info,last_alight_lon,numerical,float,,
trip info,dest_purp,categoric,string,home,
trip info,dest_purp,categoric,string,work,
trip info,dest_purp,categoric,string,work-related,
trip info,dest_purp,categoric,string,business apt,
trip info,dest_purp,categoric,string,school,
trip info,dest_purp,categoric,string,grade school,
trip info,dest_purp,categoric,string,college,
trip info,dest_purp,categoric,string,eat out,
trip info,dest_purp,categoric,string,social recreation,
trip info,dest_purp,categoric,string,escorting,
trip info,dest_purp,categoric,string,shopping,
trip info,dest_purp,categoric,string,airport,
trip info,dest_purp,categoric,string,hotel,
trip info,dest_purp,categoric,string,other maintenance,
trip info,dest_purp,categoric,string,other discretionary,
trip info,dest_purp,categoric,string,other,
trip info,dest_lat,numerical,float,,
trip info,dest_lon,numerical,float,,
trip info,home_lat,numerical,float,,
trip info,home_lon,numerical,float,,
trip info,depart_hour,numerical,integer,,
trip info,return_hour,numerical,integer,,
trip info,work_status,categoric,string,full- or part-time,
trip info,work_status,categoric,string,non-worker,
trip info,workplace_lat,numerical,float,,
trip info,workplace_lon,numerical,float,,
trip info,at_work_prior_to_orig_purp,categoric,string,at work before surveyed trip,
trip info,at_work_prior_to_orig_purp,categoric,string,not at work before surveyed trip,
trip info,at_work_after_dest_purp,categoric,string,at work after surveyed trip,
trip info,at_work_after_dest_purp,categoric,string,not at work after surveyed trip,
trip info,student_status,categoric,string,full- or part-time,
trip info,student_status,categoric,string,non-student,
trip info,school_lat,numerical,float,,
trip info,school_lon,numerical,float,,
trip info,at_school_prior_to_orig_purp,categoric,string,at school before surveyed trip,
trip info,at_school_prior_to_orig_purp,categoric,string,not at school before surveyed trip,
trip info,at_school_after_dest_purp,categoric,string,at school after surveyed trip,
trip info,at_school_after_dest_purp,categoric,string,not at school after surveyed trip,
trip info,fare_category,categoric,string,,
trip info,fare_medium,categoric,string,,
demographic,year_born_four_digit,numerical,integer,,
demographic,gender,categoric,string,male,
demographic,gender,categoric,string,female,
demographic,gender,categoric,string,other,
demographic,gender,categoric,string,missing,
demographic,hispanic,categoric,string,HISPANIC/LATINO OR OF SPANISH ORIGIN,
demographic,hispanic,categoric,string,NOT HISPANIC/LATINO OR OF SPANISH ORIGIN,
demographic,hispanic,categoric,string,missing,
demographic,race_dmy_asn,binary,integer,0 or 1,
demographic,race_dmy_blk,binary,integer,0 or 1,
demographic,race_dmy_hwi,binary,integer,0 or 1,
demographic,race_dmy_ind,binary,integer,0 or 1,
demographic,race_dmy_mdl_estn,binary,integer,0 or 1,
demographic,race_dmy_wht,binary,integer,0 or 1,
demographic,race_other_string,non-categorical,string,,
demographic,persons,categoric,string,one,
demographic,persons,categoric,string,two,
demographic,persons,categoric,string,three,
demographic,persons,categoric,string,four,
demographic,persons,categoric,string,five,
demographic,persons,categoric,string,six,
demographic,persons,categoric,string,seven,
demographic,persons,categoric,string,eight,
demographic,persons,categoric,string,nine,
demographic,persons,categoric,string,ten or more,
demographic,persons,categoric,string,missing,
demographic,workers,categoric,string,zero,
demographic,workers,categoric,string,one,
demographic,workers,categoric,string,two,
demographic,workers,categoric,string,three,
demographic,workers,categoric,string,four,
demographic,workers,categoric,string,five,
demographic,workers,categoric,string,six or more,
demographic,workers,categoric,string,missing,
demographic,vehicles,categoric,string,zero,
demographic,vehicles,categoric,string,one,
demographic,vehicles,categoric,string,two,
demographic,vehicles,categoric,string,three,
demographic,vehicles,categoric,string,four or more,
demographic,vehicles,categoric,string,missing,
demographic,household_income,categoric,string,"under $10,000",
demographic,household_income,categoric,string,"$10,000 to $25,000",
demographic,household_income,categoric,string,"$25,000 to $35,000",
demographic,household_income,categoric,string,"$35,000 to $50,000",
demographic,household_income,categoric,string,"$50,000 to $75,000",
demographic,household_income,categoric,string,"$75,000 to $100,000",
demographic,household_income,categoric,string,"$100,000 to $150,000",
demographic,household_income,categoric,string,"$150,000 or higher",
demographic,household_income,categoric,string,missing,
demographic,language_at_home_binary,categoric,string,ENGLISH ONLY,
demographic,language_at_home_binary,categoric,string,OTHER,
demographic,language_at_home_detail,non-categorical,string,,
demographic,eng_proficient,categoric,string,VERY WELL,
demographic,eng_proficient,categoric,string,WELL,
demographic,eng_proficient,categoric,string,NOT WELL,
demographic,eng_proficient,categoric,string,NOT AT ALL,
demographic,eng_proficient,categoric,string,missing,
demographic,weight,numerical,float,,
